Parent,Treatment,Rep,ID,Generation,Year,Run ,Length,Survival ,Normal,Lethal.Deformities,dead,Percent.deformed,total individuals,,
LOW,Low OA,A,1,1,2021,2,96.86492308,0.37,23,1,0,0.042,24,,
LOW,Low OA,B,2,1,2021,2,99.87604545,0.26,28,2,6,0.067,36,,
LOW,Low OA,C,3,1,2021,2,96.0788125,0.30,50,2,4,0.038,56,,
LOW,Low OA,D,4,1,2021,2,96.11265625,0.32,55,5,5,0.083,65,,
LOW,Low OA,E,5,1,2021,2,95.12751429,0.31,46,4,6,0.08,56,,
MODERATE,Moderate OA,A,6,1,2021,2,,0.20,,,,,0,,
MODERATE,Moderate OA,B,7,1,2021,2,95.27536,0.22,63,0,3,0,66,,
MODERATE,Moderate OA,C,8,1,2021,2,95.39796,0.18,51,7,8,0.121,66,,
MODERATE,Moderate OA,D,9,1,2021,2,93.86782,0.22,47,2,4,0.041,53,,
MODERATE,Moderate OA,E,10,1,2021,2,93.93840426,0.24,45,0,4,0,49,,
HIGH,High OA,A,11,1,2021,2,68.86038889,0.14,4,40,0,0.909,44,,
HIGH,High OA,B,12,1,2021,2,70.2973,0.11,3,21,0,0.875,24,,
HIGH,High OA,C,13,1,2021,2,66.45377778,0.10,2,17,1,0.895,20,,
HIGH,High OA,D,14,1,2021,2,76.81166667,0.07,1,23,3,0.958,27,,
HIGH,High OA,E,15,1,2021,2,,0.09,,,,,0,,
LOW,Low OA,A,1,1,2021,1,,,30,2,10,0.063,42,,
LOW,Low OA,B,2,1,2021,1,,,32,0,2,0,34,,
LOW,Low OA,C,3,1,2021,1,,,61,3,10,0.047,74,,
LOW,Low OA,D,4,1,2021,1,,,42,2,4,0.045,48,,
MODERATE,Moderate OA,A,5,1,2021,1,,,74,2,6,0.026,82,,
MODERATE,Moderate OA,B,6,1,2021,1,,,54,2,5,0.036,61,,
MODERATE,Moderate OA,C,7,1,2021,1,,,18,4,3,0.182,25,,
MODERATE,Moderate OA,D,8,1,2021,1,,,59,5,10,0.078,74,,
HIGH,High OA,A,9,1,2021,1,,,2,4,1,0.667,7,,
HIGH,High OA,B,10,1,2021,1,,,3,21,0,0.875,24,,
HIGH,High OA,C,11,1,2021,1,,,3,17,0,0.85,20,,
HIGH,High OA,D,12,1,2021,1,,,4,51,4,0.927,59,,
LOW,Low OA,A,1,2,2022,3,,0.45,21,1,,0.045,22,,
LOW,Low OA,B,2,2,2022,3,,0.50,27,4,,0.129,31,,
LOW,Low OA,C,3,2,2022,3,,,31,5,,0.139,36,,
MODERATE,Low OA,A,4,2,2022,3,,,8,5,,0.385,13,,
MODERATE,Low OA,B,5,2,2022,3,,0.33,34,6,,0.15,40,,
MODERATE,Low OA,C,6,2,2022,3,,0.28,18,2,,0.1,20,,
HIGH,Low OA,A,7,2,2022,3,,,13,3,,0.188,16,,
HIGH,Low OA,B,8,2,2022,3,,,23,5,,0.179,28,,
HIGH,Low OA,C,9,2,2022,3,,0.36,22,4,,0.154,26,,
LOW,Moderate OA,A,10,2,2022,3,,,30,4,,0.118,34,,
LOW,Moderate OA,B,11,2,2022,3,,0.46,48,11,,0.186,59,,
LOW,Moderate OA,C,12,2,2022,3,,0.40,45,4,,0.082,49,,
MODERATE,Moderate OA,A,13,2,2022,3,,0.24,16,3,,0.158,19,,
MODERATE,Moderate OA,B,14,2,2022,3,,0.24,14,8,,0.364,22,,
MODERATE,Moderate OA,C,15,2,2022,3,,0.28,20,7,,0.259,27,,
HIGH,Moderate OA,A,16,2,2022,3,,0.48,17,0,,0,17,,
HIGH,Moderate OA,B,17,2,2022,3,,0.21,19,5,,0.208,24,,
HIGH,Moderate OA,C,18,2,2022,3,,0.26,14,8,,0.364,22,,
LOW,High OA,A,19,2,2022,3,,0.31,3,27,,0.9,30,,
LOW,High OA,B,20,2,2022,3,,0.42,3,29,,0.906,32,,
LOW,High OA,C,21,2,2022,3,,0.50,2,64,,0.97,66,,
MODERATE,High OA,A,22,2,2022,3,,,2,30,,0.938,32,,
MODERATE,High OA,B,23,2,2022,3,,0.40,1,42,,0.977,43,,
MODERATE,High OA,C,24,2,2022,3,,,1,15,,0.938,16,,
HIGH,High OA,A,25,2,2022,3,,0.27,1,24,,0.96,25,,
HIGH,High OA,B,26,2,2022,3,,0.34,1,22,,0.957,23,,
HIGH,High OA,C,27,2,2022,3,,0.27,1,36,,0.973,37,,
LOW,Low OA,A,1,2,2022,4,104.7,0.10,54,4,4,0.069,62,,
LOW,Low OA,B,2,2,2022,4,100.1,0.07,28,2,1,0.067,31,,
LOW,Low OA,C,3,2,2022,4,104.5,0.08,44,7,4,0.137,55,,
MODERATE,Moderate OA,A,10,2,2022,4,104.1,0.05,41,10,2,0.196,53,,
MODERATE,Moderate OA,B,11,2,2022,4,99.2,0.05,63,3,6,0.045,72,,
MODERATE,Moderate OA,C,12,2,2022,4,99.6,0.06,48,4,2,0.077,54,,
LOW,Low OA,A,1,3,2023,6,90.24547619,0.19,44,11,1,0.2,56,,
LOW,Low OA,B,2,3,2023,6,95.41661972,0.15,14,2,0,0.125,16,,
LOW,Low OA,C,3,3,2023,6,84.99127778,0.23,63,27,9,0.3,99,,
MODERATE,Low OA,A,4,3,2023,6,,0.19,41,20,1,0.328,62,,
MODERATE,Low OA,B,5,3,2023,6,93.57385965,0.27,37,6,0,0.14,43,,
MODERATE,Low OA,C,6,3,2023,6,87.02888889,0.25,31,19,0,0.38,50,,
LOW,Moderate OA,A,7,3,2023,6,92.67237443,0.18,17,15,0,0.469,32,,
