Age_dpf,Generation,Larvae_OA,Salinity,toC-_Bucket,Total_alkalinity_mmol/kgSW,Total_Dissolved_inorganic_carbon_mmol/kgSW,pHmeaured,pH__Calculated,fCO2_out_matm,pCO2_out_matm,WCa_out,WAr_out,xCO2_out_dry_at_1_atm_ppm,Salinity_SD,toC-_Bucket_SD,Total_alkalinity_mmol/kgSW_SD,Total_Dissolved_inorganic_carbon_mmol/kgSW_SD,pHmeaured_SD,pH__Calculated_SD,fCO2_out_matm_SD,pCO2_out_matm_SD,WCa_out_SD,WAr_out_SD,xCO2_out_dry_at_1_atm_ppm_SD
0,F1,high,27.02,22.6,1919.168,1905.4222,7.466,7.454982951,1595.692107,1600.939515,1.100151236,0.703816689,1645.235531,0.164316767,0.158113883,3.983989207,12.34159456,0.047222876,0.057990024,219.290668,220.0067784,0.137510176,0.0877397,226.3082776
2,F1,high,27.08,22.66,1949.638,1916.928427,7.424,7.528288069,1348.086702,1352.526562,1.300194176,0.831683272,1389.666182,0.109544512,0.260768096,7.913467634,5.703862984,0.015165751,0.034657332,111.238339,111.5998036,0.096688685,0.061711961,114.8717314
4,F1,high,27,22.64,1939.456,1905.270434,7.452,7.530814753,1327.687636,1332.056278,1.306563195,0.836629999,1368.79936,0.1,0.194935887,4.131050714,5.833766261,0.013038405,0.012452051,41.12762059,41.26106133,0.033084477,0.021145861,42.48141641
8,F1,high,27.14,22.72,1953.788,1922.7852,7.442,7.514526223,1393.403142,1397.972284,1.28558154,0.823945407,1437.207797,0.089442719,0.164316767,3.480318951,4.799231678,0.021679483,0.016275608,54.93172511,55.11185304,0.042906156,0.027225158,56.65668618
10,F1,high,27.08,22.76,1960.246,1921.4072,7.414,7.546441755,1294.458076,1298.713014,1.37248316,0.879021518,1334.72171,0.130384048,0.054772256,7.807616794,2.004995187,0.008944272,0.033696085,98.58924772,98.91006732,0.105010723,0.067093417,101.7914667
14,F1,high,27.18,22.86,1938.922,1907.5974,7.438,7.519879224,1373.565617,1378.082807,1.284128027,0.822007494,1416.19942,0.14832397,0.089442719,17.99738092,3.526843816,0.019235384,0.05923504,178.0947534,178.6785599,0.181026503,0.115783541,183.7013897
0,F1,low,27.04,22.56,1917.988,1757.558,7.944,7.945539339,459.1503231,460.6618712,3.015471049,1.927663071,473.3388557,0.181659021,0.167332005,4.243126206,4.901410001,0.011401754,0.007629367,9.662021181,9.693584652,0.047328699,0.03076253,9.971169631
2,F1,low,27.04,22.7,1932.938,1737.160691,7.954,8.034549742,364.1957927,365.398892,3.575328405,2.284410502,375.2796562,0.134164079,0.187082869,13.32641062,13.76672197,0.015165751,0.009795833,10.5081052,10.5428181,0.0674242,0.043218054,10.82797874
4,F1,low,27.04,22.62,1936.408,1737.563644,7.978,8.036871996,361.3462802,362.5396732,3.613720874,2.311547362,372.3539332,0.134164079,0.178885438,2.50989442,4.261436227,0.021679483,0.010749311,10.53485015,10.56969951,0.078408411,0.050605075,10.85373957
8,F1,low,27.04,22.68,1951.91,1750.126,7.97,8.033552718,367.4150496,368.6218966,3.678091543,2.356072479,378.8795163,0.134164079,0.192353841,3.388635419,4.135132767,0.02236068,0.016242421,15.38990651,15.43956648,0.112840332,0.071941962,15.90767903
