Date,Run,Generation,Type,ID,Parental_OA,Larvae_OA,Temperature_bucket_C,Salinity,TA_mmol_kgSW,TCO2_mmol_kgSW,pH,TADIC_pH_out_in_situ,TADIC_pCO2_out_(matm)_in_situ,TADIC_WAr_out_in_situ,TADIC_pH_out_25,TADIC_pCO2_out_(matm)_25,TADIC_WAr_out_25,TApH_pH_out_in_situ,TApH_pCO2_out_(matm)_in_situ,TApH_WAr_out_in_situ,TApH_pH_out_25,TApH_pCO2_out_(matm)_25,TApH_WAr_out_25,DICpH_pH_out_in_situ,DICpH_pCO2_out_(matm)_in_situ,DICpH_WAr_out_in_situ,DICpH_pH_out_25,DICpH_pCO2_out_(matm)_25,DICpH_WAr_out_25
7/26/2021,2,F1,Larvae,1,Mid,Low,22.6,26.8,1920.59,1758.831,7.96,7.959,455.7,1.94,7.924,501.4,1.98,7.929,493.8,1.83,7.893,543,1.87,7.929,490.6,1.82,7.893460865,539.5359092,1.855061051
7/26/2021,2,F1,Larvae,2,Mid,Low,22.7,26.7,1911.6,1754.616,7.97,7.948,467.9,1.89,7.914,512.7,1.93,7.934,484.5,1.84,7.901,530.8,1.88,7.934,483.2,1.84,7.900699948,529.3257739,1.875810854
7/26/2021,2,F1,Larvae,3,Mid,Low,22.7,26.8,1922.59,1765.601,7.96,7.945,473.9,1.9,7.911,519.3,1.93,7.925,499.6,1.82,7.891,547.2,1.86,7.925,497.5,1.82,7.890968463,544.9006862,1.85212546
7/26/2021,2,F1,Larvae,4,Mid,Low,22.7,26.9,1918.79,1755.015,7.98,7.961,451.6,1.96,7.928,495,2,7.945,472.1,1.9,7.911,517.3,1.93,7.945,470.4,1.89,7.910998011,515.4287789,1.927192162
7/26/2021,2,F1,Larvae,5,Mid,Low,22.7,26.9,1916.37,1753.718,7.95,7.959,454.2,1.95,7.925,497.7,1.99,7.914,511.3,1.78,7.881,559.9,1.82,7.914,506.4,1.77,7.880528419,554.6319832,1.80227925
7/26/2021,2,F1,Larvae,6,Mid,Mid,22.8,26.9,1926.02,1829.069,7.77,7.765,755.8,1.33,7.734,822.1,1.36,7.733,820.1,1.25,7.702,891.4,1.27,7.733,815.8,1.24,7.702155601,886.6591257,1.267150576
7/26/2021,2,F1,Larvae,7,Mid,Mid,22.7,26.8,1919.59,1810.503,7.82,7.807,677.1,1.44,7.774,740,1.47,7.784,718.8,1.37,7.751,785.2,1.4,7.784,715.9,1.37,7.751118528,782.0085297,1.3959333
7/26/2021,2,F1,Larvae,8,Mid,Mid,22.7,26.9,1921.33,1827.536,7.78,7.756,770.1,1.3,7.724,840.6,1.33,7.744,794.3,1.27,7.712,866.8,1.3,7.744,792.7,1.27,7.712212964,865.0682781,1.294901251
7/26/2021,2,F1,Larvae,9,Mid,Mid,22.7,26.9,1917.08,1807.647,7.83,7.807,675.5,1.44,7.774,738.3,1.47,7.794,697.4,1.4,7.762,762,1.43,7.794,695.9,1.4,7.761899967,760.3433608,1.430770666
7/26/2021,2,F1,Larvae,10,Mid,Mid,22.8,27,1923.09,1825.69,7.78,7.765,753.2,1.33,7.734,819.3,1.36,7.743,796.1,1.27,7.713,865.5,1.3,7.743,793.2,1.27,7.712755756,862.3847508,1.298109382
7/26/2021,2,F1,Larvae,11,Mid,High,22.7,27,1922.4,1899.757,7.52,7.498,1462.2,0.75,7.47,1583.3,0.78,7.488,1499.7,0.74,7.459,1623.4,0.76,7.488,1497.6,0.74,7.459422097,1621.060778,0.759875078
7/26/2021,2,F1,Larvae,12,Mid,High,22.7,26.9,1923.25,1909.645,7.47,7.465,1589.4,0.7,7.437,1718.9,0.72,7.438,1695.1,0.66,7.41,1831.4,0.68,7.438,1689.1,0.66,7.41038123,1824.867017,0.680383881
