Parental_OA,treatment,Rep,ID,Generation,Age,Stage,Run,Length,n,GR,spGR
LOW,Low OA,A,1,2,2,larvae,4,104.7,56,,
LOW,Low OA,B,2,2,2,larvae,4,100.1,25,,
LOW,Low OA,C,3,2,2,larvae,4,104.5,33,,
MODERATE,Moderate OA,A,10,2,2,larvae,4,104.1,38,,
MODERATE,Moderate OA,B,11,2,2,larvae,4,99.2,46,,
MODERATE,Moderate OA,C,12,2,2,larvae,4,99.6,36,,
LOW,Low OA,A,1,2,4,larvae,4,111.2,44,3.255701581,0.030176449
LOW,Low OA,B,2,2,4,larvae,4,109.3,24,4.604916667,0.044010019
LOW,Low OA,C,3,2,4,larvae,4,109.6,41,2.537339246,0.023701364
MODERATE,Moderate OA,A,10,2,4,larvae,4,108.3,53,2.093150447,0.019711531
MODERATE,Moderate OA,B,11,2,4,larvae,4,107.1,31,3.975098177,0.0385536
MODERATE,Moderate OA,C,12,2,4,larvae,4,106.2,39,3.267061966,0.031763601
LOW,Low OA,A,1,2,6,larvae,4,129.8,36,9.326907115,0.077554148
LOW,Low OA,B,2,2,6,larvae,4,133,19,11.83208333,0.097986888
LOW,Low OA,C,3,2,6,larvae,4,129.8,23,10.10956787,0.084643931
MODERATE,Moderate OA,A,10,2,6,larvae,4,128.3,22,10.00675386,0.084788551
MODERATE,Moderate OA,B,11,2,6,larvae,4,127.9,47,10.38022791,0.08856405
MODERATE,Moderate OA,C,12,2,6,larvae,4,124.7,46,9.250105909,0.080324142
LOW,Low OA,A,1,2,8,larvae,4,139.3,22,4.724229249,0.035124379
LOW,Low OA,B,2,2,8,larvae,4,144.4,20,5.70875,0.041188559
LOW,Low OA,C,3,2,8,larvae,4,147.9,39,9.034969342,0.065154515
MODERATE,Moderate OA,A,10,2,8,larvae,4,142,38,6.867595694,0.050848194
MODERATE,Moderate OA,B,11,2,8,larvae,4,143.3,39,7.723804348,0.057015107
MODERATE,Moderate OA,C,12,2,8,larvae,4,139.2,27,7.267045089,0.055140723
LOW,Low OA,A,1,2,10,larvae,4,165.4,19,13.06864833,0.085992786
LOW,Low OA,B,2,2,10,larvae,4,168.9,25,12.27065,0.078488333
LOW,Low OA,C,3,2,10,larvae,4,177.5,15,14.77582051,0.091080301
MODERATE,Moderate OA,A,10,2,10,larvae,4,169.1,19,13.53684211,0.087228565
MODERATE,Moderate OA,B,11,2,10,larvae,4,167.6,23,12.1473913,0.078284135
MODERATE,Moderate OA,C,12,2,10,larvae,4,149.4,35,5.098830688,0.035352024
LOW,Low OA,A,1,2,12,larvae,4,181.6,78,8.106905034,0.046753319
LOW,Low OA,B,2,2,12,larvae,4,187.7,44,9.403554545,0.052779456
LOW,Low OA,C,3,2,12,larvae,4,188.8,41,5.678178862,0.031016072
MODERATE,Moderate OA,A,10,2,12,larvae,4,175.2,43,3.059742962,0.017772667
MODERATE,Moderate OA,B,11,2,12,larvae,4,173.3,70,2.850978261,0.016724236
