grant,Sub_Project,Sample_Description,Parental_OA,Exposure_OA,Replicate,Tank,Storage,Date_extraction,Purpose,Tube_ID,Mean_Qubit_ng/ul,Final_ug_sample,Final_vol_sample,Plate_wells,Success_From_RTL
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,Low,A,1,RNAlater,2/20/2024,F3 Dhinge TagSeq,1,2.505,125,60,A1,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,Low,B,2,RNAlater,2/20/2024,F3 Dhinge TagSeq,2,2.61,150,60,A2,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,Low,C,3,RNAlater,2/20/2024,F3 Dhinge TagSeq,3,2.4,125,60,A3,no
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,Low,A,4,RNAlater,2/20/2024,F3 Dhinge TagSeq,4,9.035,150,60,A4,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,Low,B,5,RNAlater,2/20/2024,F3 Dhinge TagSeq,5,4.65,150,60,A5,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,Low,C,6,RNAlater,2/20/2024,F3 Dhinge TagSeq,6,5.205,150,60,A6,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,Moderate,A,7,RNAlater,2/20/2024,F3 Dhinge TagSeq,7,3.02,150,60,A7,no
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,Moderate,B,8,RNAlater,2/20/2024,F3 Dhinge TagSeq,8,3.355,150,60,A8,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,Moderate,C,9,RNAlater,2/20/2024,F3 Dhinge TagSeq,9,2.7,150,60,A9,no
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,Moderate,A,10,RNAlater,2/20/2024,F3 Dhinge TagSeq,10,3.74,150,60,A10,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,Moderate,B,11,RNAlater,2/20/2024,F3 Dhinge TagSeq,11,9.89,150,60,A11,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,Moderate,C,12,RNAlater,2/20/2024,F3 Dhinge TagSeq,12,3.39,150,60,A12,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,High,A,13,RNAlater,2/20/2024,F3 Dhinge TagSeq,13,3.385,150,60,B1,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,High,B,14,RNAlater,2/20/2024,F3 Dhinge TagSeq,14,9.165,150,60,B2,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Low,High,C,15,RNAlater,2/20/2024,F3 Dhinge TagSeq,15,2.4,125,60,B3,no
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,High,A,16,RNAlater,2/20/2024,F3 Dhinge TagSeq,16,2.05,110,60,B4,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,High,B,17,RNAlater,2/20/2024,F3 Dhinge TagSeq,17,7.12,150,60,B5,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,Moderate,High,C,18,RNAlater,2/20/2024,F3 Dhinge TagSeq,18,low,NA,60,NA,NA
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,Low,A,19,RNAlater,2/20/2024,F3 Dhinge TagSeq,19,6.28,150,60,B6,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,Low,B,20,RNAlater,2/20/2024,F3 Dhinge TagSeq,20,low,NA,60,NA,NA
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,Low,C,21,RNAlater,2/20/2024,F3 Dhinge TagSeq,21,5.22,150,60,B7,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,Moderate,A,22,RNAlater,2/20/2024,F3 Dhinge TagSeq,22,3.095,150,60,B8,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,Moderate,B,23,RNAlater,2/20/2024,F3 Dhinge TagSeq,23,6.455,150,60,B9,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,Moderate,C,24,RNAlater,2/20/2024,F3 Dhinge TagSeq,24,low,NA,60,NA,NA
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,High,A,25,RNAlater,2/20/2024,F3 Dhinge TagSeq,25,3.9,150,60,B10,yes
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,High,B,26,RNAlater,2/20/2024,F3 Dhinge TagSeq,26,low,NA,60,NA,NA
Bay Scallops FY21-23 OAP,F3 Dhinge,spun down pellet for RNA,High,High,C,27,RNAlater,2/20/2024,F3 Dhinge TagSeq,27,low,NA,60,NA,NA
